Provider ID,Hospital Name,schema:Hospital on Map,Address,City,schema:City,State,schema:State,ZIP Code,County Name,schema:County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
10005,MARSHALL MEDICAL CENTER SOUTH,https://nominatim.openstreetmap.org/search.php?q=MARSHALL+MEDICAL+CENTER+SOUTH&polygon_geojson=1&viewbox=,2505 U S HIGHWAY 431 NORTH,Boaz,https://www.wikidata.org/wiki/Q79855,Alabama,https://www.wikidata.org/wiki/Q173,35957,MARSHALL,,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,true,true,1,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Below the national average
10012,DEKALB REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=DEKALB+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,200 MED CENTER DRIVE,Fort Payne,https://www.wikidata.org/wiki/Q79653,Alabama,https://www.wikidata.org/wiki/Q173,35968,DeKalb County,https://www.wikidata.org/wiki/Q494626,2568453150,Acute Care Hospitals,Proprietary,true,true,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
10131,CRESTWOOD MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=CRESTWOOD+MEDICAL+CENTER&polygon_geojson=1&viewbox=,ONE HOSPITAL DR SE,Huntsville,https://www.wikidata.org/wiki/Q79860,Alabama,https://www.wikidata.org/wiki/Q173,35801,Madison County,https://www.wikidata.org/wiki/Q115166,2568823100,Acute Care Hospitals,Proprietary,true,true,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=YUKON+KUSKOKWIM+DELTA+REG+HOSPITAL&polygon_geojson=1&viewbox=,PO BOX 287,Bethel,https://www.wikidata.org/wiki/Q80022,Alaska,https://www.wikidata.org/wiki/Q797,99559,BETHEL,,9075436300,Acute Care Hospitals,Tribal,true,true,3,Same as the national average,Not Available,Same as the national average,Below the national average,Same as the national average,Not Available,Not Available
30071,FORT DEFIANCE INDIAN HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=FORT+DEFIANCE+INDIAN+HOSPITAL&polygon_geojson=1&viewbox=,PO BOX 649,Fort Defiance,https://www.wikidata.org/wiki/Q1026027,Arizona,https://www.wikidata.org/wiki/Q816,86504,Apache County,https://www.wikidata.org/wiki/Q58771,9287298000,Acute Care Hospitals,Government - Federal,true,,2,Same as the national average,Not Available,Below the national average,Same as the national average,Below the national average,Not Available,Not Available
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,https://nominatim.openstreetmap.org/search.php?q=TUBA+CITY+REGIONAL+HEALTH+CARE+CORPORATION&polygon_geojson=1&viewbox=,PO BOX 600,Tuba City,https://www.wikidata.org/wiki/Q1013162,Arizona,https://www.wikidata.org/wiki/Q816,86045,Coconino County,https://www.wikidata.org/wiki/Q58684,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,false,,3,Not Available,Above the national average,Below the national average,Below the national average,Below the national average,Not Available,Not Available
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,https://nominatim.openstreetmap.org/search.php?q=CHINLE+COMPREHENSIVE+HEALTH+CARE+FACILITY&polygon_geojson=1&viewbox=,"US HWY 191, HOSPITAL ROAD",Chinle,https://www.wikidata.org/wiki/Q1026032,Arizona,https://www.wikidata.org/wiki/Q816,86503,Apache County,https://www.wikidata.org/wiki/Q58771,9286747001,Acute Care Hospitals,Government - Federal,true,true,2,Not Available,Not Available,Below the national average,Below the national average,Below the national average,Not Available,Not Available
40018,SPARKS MEDICAL CENTER - VAN BUREN,https://nominatim.openstreetmap.org/search.php?q=SPARKS+MEDICAL+CENTER+-+VAN+BUREN&polygon_geojson=1&viewbox=,EAST MAIN AND SOUTH 20TH STREET,Van Buren,https://www.wikidata.org/wiki/Q79696,Arkansas,https://www.wikidata.org/wiki/Q1612,72957,Crawford County,https://www.wikidata.org/wiki/Q61005,4794743401,Acute Care Hospitals,Proprietary,true,true,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
40007,CHI-ST VINCENT INFIRMARY,https://nominatim.openstreetmap.org/search.php?q=CHI-ST+VINCENT+INFIRMARY&polygon_geojson=1&viewbox=,TWO ST VINCENT CIRCLE,Little Rock,https://www.wikidata.org/wiki/Q33405,Arkansas,https://www.wikidata.org/wiki/Q1612,72205,Pulaski County,https://www.wikidata.org/wiki/Q61160,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
40050,OUACHITA COUNTY MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=OUACHITA+COUNTY+MEDICAL+CENTER&polygon_geojson=1&viewbox=,638 CALIFORNIA AVENUE,Camden,https://www.wikidata.org/wiki/Q79446,Arkansas,https://www.wikidata.org/wiki/Q1612,71701,Ouachita County,https://www.wikidata.org/wiki/Q61138,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,https://nominatim.openstreetmap.org/search.php?q=BAPTIST+HEALTH+MEDICAL+CENTER-LITTLE+ROCK&polygon_geojson=1&viewbox=,9601 INTERSTATE,Little Rock,https://www.wikidata.org/wiki/Q33405,Arkansas,https://www.wikidata.org/wiki/Q1612,72205,Pulaski County,https://www.wikidata.org/wiki/Q61160,5012022000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,https://nominatim.openstreetmap.org/search.php?q=BAPTIST+HEALTH+MEDICAL+CENTER-CONWAY&polygon_geojson=1&viewbox=,1555 EXCHANGE AVENUE,Conway,https://www.wikidata.org/wiki/Q79853,Arkansas,https://www.wikidata.org/wiki/Q1612,72032,Faulkner County,https://www.wikidata.org/wiki/Q61468,5015852000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
41328,CHICOT MEMORIAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=CHICOT+MEMORIAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,2729 SOUTH HIGHWAY 65 & 82,Lake Village,https://www.wikidata.org/wiki/Q79351,Arkansas,https://www.wikidata.org/wiki/Q1612,71653,Chicot County,https://www.wikidata.org/wiki/Q61458,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,true,true,2,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
50054,SAN GORGONIO MEMORIAL HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=SAN+GORGONIO+MEMORIAL+HOSPITAL&polygon_geojson=1&viewbox=,600 NORTH HIGHLAND SPRINGS AVENUE,Banning,https://www.wikidata.org/wiki/Q806903,California,https://www.wikidata.org/wiki/Q99,92220,Riverside County,https://www.wikidata.org/wiki/Q108111,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,true,,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
50103,WHITE MEMORIAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=WHITE+MEMORIAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,1720 E CESAR AVENUE,Los Angeles,https://www.wikidata.org/wiki/Q65,California,https://www.wikidata.org/wiki/Q99,90033,Los Angeles County,https://www.wikidata.org/wiki/Q104994,3232685000,Acute Care Hospitals,Voluntary non-profit - Church,false,true,3,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,https://nominatim.openstreetmap.org/search.php?q=COMMUNITY+HOSPITAL+OF+THE+MONTEREY+PENINSULA&polygon_geojson=1&viewbox=,23625 W R HOLMAN HIGHWAY,Monterey,https://www.wikidata.org/wiki/Q487315,California,https://www.wikidata.org/wiki/Q99,93940,Monterey County,https://www.wikidata.org/wiki/Q108072,8316245311,Acute Care Hospitals,Voluntary non-profit - Private,true,true,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,https://nominatim.openstreetmap.org/search.php?q=HOAG+MEMORIAL+HOSPITAL+PRESBYTERIAN&polygon_geojson=1&viewbox=,ONE HOAG DRIVE,Newport Beach,https://www.wikidata.org/wiki/Q268873,California,https://www.wikidata.org/wiki/Q99,92663,Orange County,https://www.wikidata.org/wiki/Q5925,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
50280,MERCY MEDICAL CENTER REDDING,https://nominatim.openstreetmap.org/search.php?q=MERCY+MEDICAL+CENTER+REDDING&polygon_geojson=1&viewbox=,"2175 ROSALINE AVE, CLAIRMONT HGTS",Redding,https://www.wikidata.org/wiki/Q495361,California,https://www.wikidata.org/wiki/Q99,96001,Shasta County,https://www.wikidata.org/wiki/Q156350,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
50309,SUTTER ROSEVILLE MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=SUTTER+ROSEVILLE+MEDICAL+CENTER&polygon_geojson=1&viewbox=,ONE MEDICAL PLAZA,Roseville,https://www.wikidata.org/wiki/Q491340,California,https://www.wikidata.org/wiki/Q99,95661,Placer County,https://www.wikidata.org/wiki/Q156353,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,true,true,5,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
50488,EDEN MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=EDEN+MEDICAL+CENTER&polygon_geojson=1&viewbox=,20103 LAKE CHABOT ROAD,Castro Valley,https://www.wikidata.org/wiki/Q1020700,California,https://www.wikidata.org/wiki/Q99,94546,Alameda County,https://www.wikidata.org/wiki/Q107146,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,true,true,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
50567,MISSION HOSPITAL REGIONAL MED CENTER,https://nominatim.openstreetmap.org/search.php?q=MISSION+HOSPITAL+REGIONAL+MED+CENTER&polygon_geojson=1&viewbox=,27700 MEDICAL CENTER RD,Mission Viejo,https://www.wikidata.org/wiki/Q506428,California,https://www.wikidata.org/wiki/Q99,92691,Orange County,https://www.wikidata.org/wiki/Q5925,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
50684,MENIFEE VALLEY MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=MENIFEE+VALLEY+MEDICAL+CENTER&polygon_geojson=1&viewbox=,28400 MCCALL B0ULEVARD,Sun City,https://www.wikidata.org/wiki/Q1936551,California,https://www.wikidata.org/wiki/Q99,92585,Riverside County,https://www.wikidata.org/wiki/Q108111,9516798888,Acute Care Hospitals,Physician,false,true,2,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,https://nominatim.openstreetmap.org/search.php?q=LAC/RANCHO+LOS+AMIGOS+NATIONAL+REHABILITATION++CTR&polygon_geojson=1&viewbox=,7601 EAST IMPERIAL HIGHWAY,Downey,https://www.wikidata.org/wiki/Q488946,California,https://www.wikidata.org/wiki/Q99,90242,Los Angeles County,https://www.wikidata.org/wiki/Q104994,5624017022,Acute Care Hospitals,Government - Local,false,true,3,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available
51317,ADVENTIST HEALTH CLEARLAKE,https://nominatim.openstreetmap.org/search.php?q=ADVENTIST+HEALTH+CLEARLAKE&polygon_geojson=1&viewbox=,15630 18TH AVE - HWY 53,Clearlake,https://www.wikidata.org/wiki/Q376246,California,https://www.wikidata.org/wiki/Q99,95422,Lake County,https://www.wikidata.org/wiki/Q156361,7079946486,Critical Access Hospitals,Voluntary non-profit - Church,true,true,2,Same as the national average,Not Available,Below the national average,Below the national average,Not Available,Not Available,Not Available
100054,TWIN CITIES HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=TWIN+CITIES+HOSPITAL&polygon_geojson=1&viewbox=,2190 HWY 85 N,Niceville,https://www.wikidata.org/wiki/Q2100064,Florida,https://www.wikidata.org/wiki/Q812,32578,Okaloosa County,https://www.wikidata.org/wiki/Q494476,8506784131,Acute Care Hospitals,Proprietary,true,true,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average
70008,JOHNSON MEMORIAL HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=JOHNSON+MEMORIAL+HOSPITAL&polygon_geojson=1&viewbox=,201 CHESTNUT HILL ROAD,Stafford Springs,https://www.wikidata.org/wiki/Q9079557,Connecticut,https://www.wikidata.org/wiki/Q779,6076,Tolland County,https://www.wikidata.org/wiki/Q54246,8606844251,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
70006,STAMFORD HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=STAMFORD+HOSPITAL&polygon_geojson=1&viewbox=,ONE HOSPITAL PLAZA,Stamford,https://www.wikidata.org/wiki/Q49169,Connecticut,https://www.wikidata.org/wiki/Q779,6904,Fairfield County,https://www.wikidata.org/wiki/Q54231,2032761000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
70016,SAINT MARY'S HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=SAINT+MARY'S+HOSPITAL&polygon_geojson=1&viewbox=,56 FRANKLIN STEET,Waterbury,https://www.wikidata.org/wiki/Q49178,Connecticut,https://www.wikidata.org/wiki/Q779,6706,New Haven County,https://www.wikidata.org/wiki/Q54234,2037096020,Acute Care Hospitals,Voluntary non-profit - Other,true,true,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
70029,BRISTOL HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=BRISTOL+HOSPITAL&polygon_geojson=1&viewbox=,BREWSTER RD,Bristol,https://www.wikidata.org/wiki/Q755149,Connecticut,https://www.wikidata.org/wiki/Q779,6010,Hartford County,https://www.wikidata.org/wiki/Q54236,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
80003,ST FRANCIS HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=ST+FRANCIS+HOSPITAL&polygon_geojson=1&viewbox=,7TH AND CLAYTON STS,Wilmington,https://www.wikidata.org/wiki/Q174224,Delaware,https://www.wikidata.org/wiki/Q1393,19805,New Castle County,https://www.wikidata.org/wiki/Q156156,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
80009,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS","https://nominatim.openstreetmap.org/search.php?q=BAYHEALTH+HOSPITAL,+SUSSEX+CAMPUS&polygon_geojson=1&viewbox=",100 WELLNESS WAY,Milford,https://www.wikidata.org/wiki/Q755600,Delaware,https://www.wikidata.org/wiki/Q1393,19963,Sussex County,https://www.wikidata.org/wiki/Q156213,3024223311,Acute Care Hospitals,Voluntary non-profit - Private,true,true,2,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
100075,ST JOSEPHS HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=ST+JOSEPHS+HOSPITAL&polygon_geojson=1&viewbox=,3001 W MARTIN LUTHER KING JR BLVD,Tampa,https://www.wikidata.org/wiki/Q49255,Florida,https://www.wikidata.org/wiki/Q812,33677,Hillsborough County,https://www.wikidata.org/wiki/Q488874,8138704398,Acute Care Hospitals,Voluntary non-profit - Church,true,true,5,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=HEART+OF+FLORIDA+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,40100 US HWY 27 N,Davenport,https://www.wikidata.org/wiki/Q1889181,Florida,https://www.wikidata.org/wiki/Q812,33837,POLK,,8634224971,Acute Care Hospitals,Proprietary,true,true,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
100183,CORAL GABLES HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=CORAL+GABLES+HOSPITAL&polygon_geojson=1&viewbox=,3100 DOUGLAS RD,Coral Gables,https://www.wikidata.org/wiki/Q427559,Florida,https://www.wikidata.org/wiki/Q812,33134,Miami-Dade County,https://www.wikidata.org/wiki/Q468557,3054458461,Acute Care Hospitals,Proprietary,true,true,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
100209,KENDALL REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=KENDALL+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,11750 BIRD RD,Miami,https://www.wikidata.org/wiki/Q8652,Florida,https://www.wikidata.org/wiki/Q812,33175,Miami-Dade County,https://www.wikidata.org/wiki/Q468557,3052233000,Acute Care Hospitals,Proprietary,true,true,2,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available
220176,ST VINCENT HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=ST+VINCENT+HOSPITAL&polygon_geojson=1&viewbox=,123 SUMMER STREET,Worcester,https://www.wikidata.org/wiki/Q49179,Massachusetts,https://www.wikidata.org/wiki/Q771,1608,Worcester County,https://www.wikidata.org/wiki/Q54093,5083635000,Acute Care Hospitals,Proprietary,true,true,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
101300,ADVENTHEALTH WAUCHULA,https://nominatim.openstreetmap.org/search.php?q=ADVENTHEALTH+WAUCHULA&polygon_geojson=1&viewbox=,735 S 5TH AVE,Wauchula,https://www.wikidata.org/wiki/Q990844,Florida,https://www.wikidata.org/wiki/Q812,33873,Hardee County,https://www.wikidata.org/wiki/Q488792,8637730216,Critical Access Hospitals,Voluntary non-profit - Private,true,true,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
101301,SHANDS LIVE OAK REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=SHANDS+LIVE+OAK+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,1100 SW 11TH ST,Live Oak,https://www.wikidata.org/wiki/Q2155397,Florida,https://www.wikidata.org/wiki/Q812,32060,Suwannee County,https://www.wikidata.org/wiki/Q501036,9043621413,Critical Access Hospitals,Proprietary,true,true,3,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
110030,CARTERSVILLE MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=CARTERSVILLE+MEDICAL+CENTER&polygon_geojson=1&viewbox=,960 JOE FRANK HARRIS PARKWAY,Cartersville,https://www.wikidata.org/wiki/Q932346,Georgia,https://www.wikidata.org/wiki/Q1428,30120,Bartow County,https://www.wikidata.org/wiki/Q488181,7703878182,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=JOHN+D+ARCHBOLD+MEMORIAL+HOSPITAL&polygon_geojson=1&viewbox=,915 GORDON AVENUE & MIMOSA DRIVE,Thomasville,https://www.wikidata.org/wiki/Q1192860,Georgia,https://www.wikidata.org/wiki/Q1428,31792,Thomas County,https://www.wikidata.org/wiki/Q498327,2292282880,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
110128,MEADOWS REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=MEADOWS+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,ONE MEADOWS PARKWAY,Vidalia,https://www.wikidata.org/wiki/Q2695904,Georgia,https://www.wikidata.org/wiki/Q1428,30474,Toombs County,https://www.wikidata.org/wiki/Q376822,9125355828,Acute Care Hospitals,Proprietary,true,true,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
111335,LIBERTY REGIONAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=LIBERTY+REGIONAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,462 E G MILES PARKWAY,Hinesville,https://www.wikidata.org/wiki/Q1994691,Georgia,https://www.wikidata.org/wiki/Q1428,31310,Liberty County,https://www.wikidata.org/wiki/Q487692,9123699438,Critical Access Hospitals,Government - Hospital District or Authority,true,true,3,Same as the national average,Not Available,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
120028,NORTH HAWAII COMMUNITY HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=NORTH+HAWAII+COMMUNITY+HOSPITAL&polygon_geojson=1&viewbox=,67 1125 MAMALAHOA HIGHWAY,Waimea,https://www.wikidata.org/wiki/Q1318641,Hawaii,https://www.wikidata.org/wiki/Q782,96743,Hawaii County,https://www.wikidata.org/wiki/Q487334,8088854444,Acute Care Hospitals,Voluntary non-profit - Private,true,true,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
140002,ALTON MEMORIAL HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=ALTON+MEMORIAL+HOSPITAL&polygon_geojson=1&viewbox=,ONE MEMORIAL DRIVE,Alton,https://www.wikidata.org/wiki/Q443852,Illinois,https://www.wikidata.org/wiki/Q1204,62002,Madison County,https://www.wikidata.org/wiki/Q115166,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
140015,BLESSING HOSPITAL,https://nominatim.openstreetmap.org/search.php?q=BLESSING+HOSPITAL&polygon_geojson=1&viewbox=,BROADWAY ST & N 11TH ST,Quincy,https://www.wikidata.org/wiki/Q575750,Illinois,https://www.wikidata.org/wiki/Q1204,62305,Adams County,https://www.wikidata.org/wiki/Q108798,2172231200,Acute Care Hospitals,Voluntary non-profit - Private,true,true,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
140018,MT SINAI HOSPITAL MEDICAL CENTER,https://nominatim.openstreetmap.org/search.php?q=MT+SINAI+HOSPITAL+MEDICAL+CENTER&polygon_geojson=1&viewbox=,15TH STREET AT CALIFORNIA,Chicago,https://www.wikidata.org/wiki/Q1297,Illinois,https://www.wikidata.org/wiki/Q1204,60608,Cook County,https://www.wikidata.org/wiki/Q156431,7735422000,Acute Care Hospitals,Voluntary non-profit - Private,true,true,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
